2023-07-1,"[0, 0, 0, 0, 0, 0, 72.25, 122.33333333333334, 259.83333333333337, 258.91666666666663, 320.41666666666663, 317.49999999999994, 304.08333333333337, 246.25, 241.75, 123.25000000000001, 75.91666666666667, 0, 0, 0, 0, 0, 0, 0]"
2023-07-2,"[0, 0, 0, 0, 0, 0, 74.75, 129.0, 249.00000000000003, 247.91666666666663, 332.58333333333337, 322.3333333333333, 310.5833333333333, 254.66666666666666, 264.4166666666667, 123.16666666666669, 73.41666666666667, 0, 0, 0, 0, 0, 0, 0]"
2023-07-3,"[0, 0, 0, 0, 0, 0, 74.99999999999999, 126.41666666666666, 251.41666666666669, 257.66666666666663, 331.58333333333337, 321.16666666666663, 331.08333333333337, 254.5, 262.16666666666663, 125.50000000000001, 74.49999999999999, 0, 0, 0, 0, 0, 0, 0]"
2023-07-4,"[0, 0, 0, 0, 0, 0, 75.75, 125.91666666666667, 249.25, 237.75, 323.25, 325.5833333333333, 298.0833333333333, 259.25, 238.91666666666666, 127.41666666666666, 70.41666666666667, 0, 0, 0, 0, 0, 0, 0]"
2023-07-5,"[0, 0, 0, 0, 0, 0, 73.5, 129.75, 251.49999999999997, 258.4166666666667, 315.83333333333337, 316.50000000000006, 316.1666666666667, 248.33333333333331, 252.0, 133.75, 75.33333333333333, 0, 0, 0, 0, 0, 0, 0]"
2023-07-6,"[0, 0, 0, 0, 0, 0, 71.41666666666667, 121.91666666666667, 248.49999999999994, 240.0, 338.99999999999994, 298.5, 359.83333333333326, 255.08333333333337, 248.16666666666666, 124.83333333333334, 75.41666666666667, 0, 0, 0, 0, 0, 0, 0]"
2023-07-7,"[0, 0, 0, 0, 0, 0, 74.75, 128.25, 243.58333333333334, 263.08333333333337, 319.83333333333337, 339.9166666666667, 311.83333333333337, 259.0, 250.58333333333331, 115.66666666666667, 76.16666666666667, 0, 0, 0, 0, 0, 0, 0]"
2023-07-8,"[0, 0, 0, 0, 0, 0, 75.08333333333333, 131.33333333333331, 262.75000000000006, 239.66666666666666, 310.08333333333326, 335.5833333333333, 319.99999999999994, 243.41666666666666, 242.50000000000003, 122.75, 75.66666666666666, 0, 0, 0, 0, 0, 0, 0]"
2023-07-9,"[0, 0, 0, 0, 0, 0, 82.49999999999999, 126.75000000000001, 250.33333333333337, 238.58333333333331, 323.16666666666674, 333.33333333333337, 330.3333333333333, 236.16666666666663, 236.25, 128.25, 75.41666666666669, 0, 0, 0, 0, 0, 0, 0]"
2023-07-10,"[0, 0, 0, 0, 0, 0, 72.58333333333333, 124.83333333333334, 241.41666666666666, 253.0, 331.8333333333333, 339.6666666666667, 308.33333333333337, 260.66666666666663, 252.74999999999997, 119.33333333333333, 71.24999999999999, 0, 0, 0, 0, 0, 0, 0]"
2023-07-11,"[0, 0, 0, 0, 0, 0, 79.25, 124.16666666666669, 243.58333333333334, 251.75, 320.4166666666667, 335.25, 317.0, 242.33333333333331, 233.16666666666666, 124.83333333333331, 66.16666666666667, 0, 0, 0, 0, 0, 0, 0]"
2023-07-12,"[0, 0, 0, 0, 0, 0, 76.16666666666669, 126.16666666666664, 243.24999999999997, 244.99999999999997, 313.24999999999994, 330.33333333333337, 328.66666666666674, 258.25, 258.25, 118.41666666666669, 69.75, 0, 0, 0, 0, 0, 0, 0]"
2023-07-13,"[0, 0, 0, 0, 0, 0, 76.33333333333333, 116.25, 242.5, 255.74999999999997, 336.16666666666663, 354.08333333333337, 334.08333333333337, 250.16666666666666, 248.91666666666669, 130.25, 72.16666666666666, 0, 0, 0, 0, 0, 0, 0]"
2023-07-14,"[0, 0, 0, 0, 0, 0, 81.08333333333334, 128.33333333333334, 252.66666666666666, 246.99999999999997, 327.1666666666667, 322.66666666666663, 328.75, 251.24999999999997, 246.66666666666669, 125.66666666666667, 80.58333333333334, 0, 0, 0, 0, 0, 0, 0]"
2023-07-15,"[0, 0, 0, 0, 0, 0, 70.99999999999999, 118.49999999999999, 265.9166666666667, 245.58333333333331, 316.8333333333333, 313.0, 347.24999999999994, 251.58333333333337, 256.3333333333333, 130.08333333333331, 82.66666666666666, 0, 0, 0, 0, 0, 0, 0]"
2023-07-16,"[0, 0, 0, 0, 0, 0, 77.75, 122.99999999999999, 241.91666666666666, 259.6666666666667, 310.5, 307.6666666666667, 322.00000000000006, 249.58333333333334, 252.08333333333331, 128.75, 71.83333333333333, 0, 0, 0, 0, 0, 0, 0]"
2023-07-17,"[0, 0, 0, 0, 0, 0, 77.91666666666667, 125.99999999999999, 240.25, 237.66666666666666, 343.9166666666667, 309.75, 331.9166666666667, 247.33333333333331, 259.66666666666663, 130.16666666666666, 76.24999999999999, 0, 0, 0, 0, 0, 0, 0]"
